subj,prop,id,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,obj_length,subj_length
Air Canada,country,1397707,Canada,625311,182,355510,"[""Trans-Canada Air Lines"",""AC""]","[""Dominion of Canada"",""British North America"",""CAN"",""CA"",""ca"",""can"",""Can.""]",http://www.wikidata.org/entity/Q185339,http://www.wikidata.org/entity/Q16,Air Canada,Canada,38458,816653,In what country is Air Canada?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",6,10
Moore,country,2867095,United States of America,1228445,182,988513,"[""Moore, Idaho""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q383747,http://www.wikidata.org/entity/Q30,"Moore, Idaho",United States,228,1629691,In what country is Moore?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,5
Wellington,country,3415081,United States of America,1471010,182,988513,"[""Wellington, Utah""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q482904,http://www.wikidata.org/entity/Q30,"Wellington, Utah",United States,470,1629691,In what country is Wellington?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,10
Saint-Sylvain-d'Anjou,country,526034,France,215282,182,230035,"[""Union"",""Saint-Sylvain (devenue Saint-Sylvain-d'Anjou)""]","[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q1385453,http://www.wikidata.org/entity/Q142,Saint-Sylvain-d'Anjou,France,163,486947,In what country is Saint-Sylvain-d'Anjou?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",6,21
Crystal,country,3806026,United States of America,1659246,182,988513,"[""Crystal, Colorado""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q5191099,http://www.wikidata.org/entity/Q30,"Crystal, Colorado",United States,791,1629691,In what country is Crystal?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,7
Madan Kundari,country,2598158,Nepal,1120339,182,2838903,[],"[""NPL"",""Federal Democratic Republic of Nepal"",""NEP"",""NP"",""\ud83c\uddf3\ud83c\uddf5""]",http://www.wikidata.org/entity/Q3423705,http://www.wikidata.org/entity/Q837,Madan Kundari,Nepal,57,235075,In what country is Madan Kundari?,"[""Nepal"", ""NPL"", ""Federal Democratic Republic of Nepal"", ""NEP"", ""NP"", ""🇳🇵""]",5,13
Ara,country,4498593,India,1982478,182,2215085,[],"[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q590838,http://www.wikidata.org/entity/Q668,"Ara, Jharkhand",India,84,1301086,In what country is Ara?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",5,3
Buddhavanam,country,1380289,India,616558,182,2215085,"[""Sriparvatarama""]","[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q18379292,http://www.wikidata.org/entity/Q668,Buddhavanam,India,541,1301086,In what country is Buddhavanam?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",5,11
112th United States Colored Infantry,country,902091,United States of America,382751,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q16149452,http://www.wikidata.org/entity/Q30,112th United States Colored Infantry Regiment,United States,35,1629691,In what country is 112th United States Colored Infantry?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,36
"Ormak, Isfahan",country,1098931,Iran,477123,182,2753763,[],"[""Islamic Republic of Iran"",""Persia"",""ir"",""Islamic Rep. Iran"",""\ud83c\uddee\ud83c\uddf7""]",http://www.wikidata.org/entity/Q16896231,http://www.wikidata.org/entity/Q794,"Ormak, Isfahan",Iran,49,317291,"In what country is Ormak, Isfahan?","[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",4,14
Edmundston,country,3990933,Canada,1744170,182,355510,[],"[""Dominion of Canada"",""British North America"",""CAN"",""CA"",""ca"",""can"",""Can.""]",http://www.wikidata.org/entity/Q5339992,http://www.wikidata.org/entity/Q16,Edmundston (electoral district),Canada,69,816653,In what country is Edmundston?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",6,10
Uglich,country,1547780,Russia,692186,182,343477,[],"[""Rossiya"",""Rossija"",""RU"",""ru"",""Rossijskaja Federatsija"",""Russian Federation"",""Rossiyskaya Federatsiya"",""Rus"",""RUS"",""RF""]",http://www.wikidata.org/entity/Q196786,http://www.wikidata.org/entity/Q159,Uglich,Russia,1395,526066,In what country is Uglich?,"[""Russia"", ""Rossiya"", ""Rossija"", ""RU"", ""ru"", ""Rossijskaja Federatsija"", ""Russian Federation"", ""Rossiyskaya Federatsiya"", ""Rus"", ""RUS"", ""RF""]",6,6
Jeqjeq-e Pain,country,4664979,Iran,2055432,182,2753763,[],"[""Islamic Republic of Iran"",""Persia"",""ir"",""Islamic Rep. Iran"",""\ud83c\uddee\ud83c\uddf7""]",http://www.wikidata.org/entity/Q6180487,http://www.wikidata.org/entity/Q794,Jeqjeq-e Pain,Iran,27,317291,In what country is Jeqjeq-e Pain?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",4,13
Revigliasco d'Asti,country,1292989,Italy,575278,182,1218153,[],"[""Italia"",""Italian Republic"",""IT"",""\ud83c\uddee\ud83c\uddf9"",""ITA""]",http://www.wikidata.org/entity/Q17849,http://www.wikidata.org/entity/Q38,Revigliasco d'Asti,Italy,95,403188,In what country is Revigliasco d'Asti?,"[""Italy"", ""Italia"", ""Italian Republic"", ""IT"", ""🇮🇹"", ""ITA""]",5,18
Page,country,2496399,United States of America,1079902,182,988513,"[""Page, Nebraska""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q3288900,http://www.wikidata.org/entity/Q30,"Page, Nebraska",United States,136,1629691,In what country is Page?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,4
Detroit,country,2893401,United States of America,1239453,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q3887786,http://www.wikidata.org/entity/Q30,"Detroit, Kansas",United States,123,1629691,In what country is Detroit?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,7
Panaitoliko,country,1582998,Greece,706681,182,1272660,[],"[""Hellenic Republic"",""Hellas"",""gr"",""el"",""\ud83c\uddec\ud83c\uddf7"",""Greek Republic"",""GRE"",""Ellada"",""Greek""]",http://www.wikidata.org/entity/Q2010642,http://www.wikidata.org/entity/Q41,Panaitoliko,Greece,77,256529,In what country is Panaitoliko?,"[""Greece"", ""Hellenic Republic"", ""Hellas"", ""gr"", ""el"", ""🇬🇷"", ""Greek Republic"", ""GRE"", ""Ellada"", ""Greek""]",6,11
Poręba-Kocęby,country,5915407,Poland,2652463,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q772118,http://www.wikidata.org/entity/Q36,Poręba-Kocęby,Poland,57,355720,In what country is Poręba-Kocęby?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",6,13
Saint-Étienne-de-Saint-Geoirs,country,92266,France,35809,182,230035,"[""Marathon""]","[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q1062444,http://www.wikidata.org/entity/Q142,Saint-Étienne-de-Saint-Geoirs,France,159,486947,In what country is Saint-Étienne-de-Saint-Geoirs?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",6,29
Brown University,country,3508754,United States of America,1515659,182,988513,"[""brown.edu"",""Brown""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q49114,http://www.wikidata.org/entity/Q30,Brown University,United States,85476,1629691,In what country is Brown University?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,16
Ladomirová,country,5048690,Slovakia,2230458,182,746755,"[""Ladomirova""]","[""Slovak Republic"",""sk"",""\ud83c\uddf8\ud83c\uddf0"",""SVK""]",http://www.wikidata.org/entity/Q672362,http://www.wikidata.org/entity/Q214,Ladomirová,Slovakia,129,136530,In what country is Ladomirová?,"[""Slovakia"", ""Slovak Republic"", ""sk"", ""🇸🇰"", ""SVK""]",8,10
Long Lake,country,2782790,United States of America,1194398,182,988513,"[""Long Lake, New York""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q3708688,http://www.wikidata.org/entity/Q30,"Long Lake, New York",United States,947,1629691,In what country is Long Lake?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,9
Wiang Kao,country,3350164,Thailand,1439355,182,2858195,[],"[""Kingdom of Thailand"",""th"",""Siam"",""\ud83c\uddf9\ud83c\udded"",""Land of Smiles"",""THA""]",http://www.wikidata.org/entity/Q477068,http://www.wikidata.org/entity/Q869,Wiang Kao District,Thailand,67,249163,In what country is Wiang Kao?,"[""Thailand"", ""Kingdom of Thailand"", ""th"", ""Siam"", ""🇹🇭"", ""Land of Smiles"", ""THA""]",8,9
Kelowna Chiefs,country,4834872,Canada,2128032,182,355510,[],"[""Dominion of Canada"",""British North America"",""CAN"",""CA"",""ca"",""can"",""Can.""]",http://www.wikidata.org/entity/Q6386426,http://www.wikidata.org/entity/Q16,Kelowna Chiefs,Canada,184,816653,In what country is Kelowna Chiefs?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",6,14
Otto-Selz-Institute of Applied Psychology,country,1243604,Germany,553892,182,607728,"[""Otto-Selz-Institut"",""OSI"",""Otto Selz Institute of Applied Psychology"",""Otto Selz Institute"",""Otto-Selz-Institut f\u00fcr Psychologie und Erziehungswissenschaft"",""Otto-Selz-Institut fur Psychologie und Erziehungswissenschaft""]","[""FRG"",""BRD"",""Bundesrepublik Deutschland"",""Federal Republic of Germany"",""de"",""Deutschland"",""GER"",""BR Deutschland"",""DE""]",http://www.wikidata.org/entity/Q17513791,http://www.wikidata.org/entity/Q183,Otto-Selz-Institute of Applied Psychology,Germany,50,556493,In what country is Otto-Selz-Institute of Applied Psychology?,"[""Germany"", ""FRG"", ""BRD"", ""Bundesrepublik Deutschland"", ""Federal Republic of Germany"", ""de"", ""Deutschland"", ""GER"", ""BR Deutschland"", ""DE""]",7,41
Troy,country,1866419,United States of America,820885,182,988513,"[""Troy, New Hampshire"",""Troy NH"",""Troy N.H.""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q2418254,http://www.wikidata.org/entity/Q30,"Troy, New Hampshire",United States,385,1629691,In what country is Troy?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,4
Záblatí,country,2979928,Czech Republic,1275975,182,744365,"[""Zablati""]","[""CZR"",""cz"",""\u010cesko"",""\u010cesk\u00e1 republika"",""\u010cR"",""cze"",""CZE"",""Czechia""]",http://www.wikidata.org/entity/Q41192,http://www.wikidata.org/entity/Q213,Záblatí (Prachatice District),Czech Republic,53,271047,In what country is Záblatí?,"[""Czech Republic"", ""CZR"", ""cz"", ""Česko"", ""Česká republika"", ""ČR"", ""cze"", ""CZE"", ""Czechia""]",14,7
Old Persian,country,2674978,Iran,1151834,182,2753763,"[""peo"",""Old Persian language""]","[""Islamic Republic of Iran"",""Persia"",""ir"",""Islamic Rep. Iran"",""\ud83c\uddee\ud83c\uddf7""]",http://www.wikidata.org/entity/Q35225,http://www.wikidata.org/entity/Q794,Old Persian,Iran,9700,317291,In what country is Old Persian?,"[""Iran"", ""Islamic Republic of Iran"", ""Persia"", ""ir"", ""Islamic Rep. Iran"", ""🇮🇷""]",4,11
77th United States Congress,country,3186476,United States of America,1364534,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q4643615,http://www.wikidata.org/entity/Q30,77th United States Congress,United States,1855,1629691,In what country is 77th United States Congress?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,27
Canadian Dairy Commission,country,2259095,Canada,985534,182,355510,"[""CDC""]","[""Dominion of Canada"",""British North America"",""CAN"",""CA"",""ca"",""can"",""Can.""]",http://www.wikidata.org/entity/Q2986412,http://www.wikidata.org/entity/Q16,Canadian Dairy Commission,Canada,437,816653,In what country is Canadian Dairy Commission?,"[""Canada"", ""Dominion of Canada"", ""British North America"", ""CAN"", ""CA"", ""ca"", ""can"", ""Can.""]",6,25
Carson River,country,1689760,United States of America,748374,182,988513,"[""East Fork of Old River"",""Old River""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q2146846,http://www.wikidata.org/entity/Q30,Carson River,United States,1013,1629691,In what country is Carson River?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,12
Ciepień,country,3740506,Poland,1625430,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q5119666,http://www.wikidata.org/entity/Q36,Ciepień,Poland,50,355720,In what country is Ciepień?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",6,7
Indiana State Road 5,country,5816105,United States of America,2602734,182,988513,"[""Indiana 5"",""IN 5""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q760133,http://www.wikidata.org/entity/Q30,Indiana State Road 5,United States,207,1629691,In what country is Indiana State Road 5?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,20
Contemporary Museum Baltimore,country,184142,United States of America,74384,182,988513,"[""The Contemporary""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q1128585,http://www.wikidata.org/entity/Q30,Contemporary Museum Baltimore,United States,142,1629691,In what country is Contemporary Museum Baltimore?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,29
KMEI-LP,country,4793794,United States of America,2108539,182,988513,[],"[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q6333456,http://www.wikidata.org/entity/Q30,KMEI-LP,United States,27,1629691,In what country is KMEI-LP?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,7
Naluvedapathy,country,5246636,India,2325415,182,2215085,[],"[""Bharat"",""Hindustan"",""Bharatvarsh"",""in"",""IN"",""Republic of India"",""\ud83c\uddee\ud83c\uddf3"",""IND"",""Aryavratt""]",http://www.wikidata.org/entity/Q6961043,http://www.wikidata.org/entity/Q668,Naluvedapathy,India,283,1301086,In what country is Naluvedapathy?,"[""India"", ""Bharat"", ""Hindustan"", ""Bharatvarsh"", ""in"", ""IN"", ""Republic of India"", ""🇮🇳"", ""IND"", ""Aryavratt""]",5,13
Velventos,country,4082423,Greece,1785884,182,1272660,[],"[""Hellenic Republic"",""Hellas"",""gr"",""el"",""\ud83c\uddec\ud83c\uddf7"",""Greek Republic"",""GRE"",""Ellada"",""Greek""]",http://www.wikidata.org/entity/Q542358,http://www.wikidata.org/entity/Q41,Velventos,Greece,275,256529,In what country is Velventos?,"[""Greece"", ""Hellenic Republic"", ""Hellas"", ""gr"", ""el"", ""🇬🇷"", ""Greek Republic"", ""GRE"", ""Ellada"", ""Greek""]",6,9
Shintotsukawa,country,482849,Japan,197361,182,502871,[],"[""State of Japan"",""Land of the Rising Sun"",""Nihon"",""Nippon"",""JP"",""Nippon-koku"",""Nihon-koku"",""JA"",""JPN"",""jp"",""JAP"",""Ja"",""Jap""]",http://www.wikidata.org/entity/Q1357180,http://www.wikidata.org/entity/Q17,"Shintotsukawa, Hokkaido",Japan,186,702414,In what country is Shintotsukawa?,"[""Japan"", ""State of Japan"", ""Land of the Rising Sun"", ""Nihon"", ""Nippon"", ""JP"", ""Nippon-koku"", ""Nihon-koku"", ""JA"", ""JPN"", ""jp"", ""JAP"", ""Ja"", ""Jap""]",5,13
Ruth,country,1597302,United States of America,712376,182,988513,"[""Ruth, North Carolina""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q2027632,http://www.wikidata.org/entity/Q30,"Ruth, North Carolina",United States,159,1629691,In what country is Ruth?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,4
DIC Entertainment,country,3775555,United States of America,1643413,182,988513,"[""DIC Audiovisuel"",""DIC Enterprises"",""DIC Animation City"",""DIC Productions"",""DIC Productions, L.P."",""DIC Enterprises, Inc."",""DIC"",""DIC Entertainment, L.P."",""DIC Animation City, Inc."",""The Incredible World of DIC""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q515708,http://www.wikidata.org/entity/Q30,DIC Entertainment,United States,14978,1629691,In what country is DIC Entertainment?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,17
Utica,country,6085160,United States of America,2737286,182,988513,"[""Utica, Dane County, Wisconsin""]","[""the United States of America"",""America"",""U.S.A."",""USA"",""U.S."",""US"",""the US"",""the USA"",""US of A"",""the United States"",""U. S. A."",""U. S."",""the States"",""the U.S."",""'Merica"",""U.S"",""United States"",""'Murica""]",http://www.wikidata.org/entity/Q7902761,http://www.wikidata.org/entity/Q30,"Utica, Dane County, Wisconsin",United States,113,1629691,In what country is Utica?,"[""United States of America"", ""the United States of America"", ""America"", ""U.S.A."", ""USA"", ""U.S."", ""US"", ""the US"", ""the USA"", ""US of A"", ""the United States"", ""U. S. A."", ""U. S."", ""the States"", ""the U.S."", ""'Merica"", ""U.S"", ""United States"", ""'Murica""]",24,5
Gmina Lubsza,country,1898601,Poland,834328,182,1172122,[],"[""POL"",""Republic of Poland"",""PL"",""Polska""]",http://www.wikidata.org/entity/Q2460629,http://www.wikidata.org/entity/Q36,Gmina Lubsza,Poland,86,355720,In what country is Gmina Lubsza?,"[""Poland"", ""POL"", ""Republic of Poland"", ""PL"", ""Polska""]",6,12
Cổ Linh,country,3818525,Vietnam,1665840,182,2864945,"[""X\u00e3 C\u1ed5 Linh""]","[""Socialist Republic of Vietnam"",""VN"",""VIE"",""\ud83c\uddfb\ud83c\uddf3"",""Vi\u1ec7t Nam"",""Viet Nam"",""SRV"",""VNM""]",http://www.wikidata.org/entity/Q5202998,http://www.wikidata.org/entity/Q881,Cổ Linh,Vietnam,40,262637,In what country is Cổ Linh?,"[""Vietnam"", ""Socialist Republic of Vietnam"", ""VN"", ""VIE"", ""🇻🇳"", ""Việt Nam"", ""Viet Nam"", ""SRV"", ""VNM""]",7,7
Movraž,country,1419351,Slovenia,634756,182,749148,[],"[""Slovenija"",""Republika Slovenija"",""si"",""\ud83c\uddf8\ud83c\uddee"",""svn"",""slo"",""Republic of Slovenia"",""SLO""]",http://www.wikidata.org/entity/Q1868458,http://www.wikidata.org/entity/Q215,Movraž,Slovenia,50,140196,In what country is Movraž?,"[""Slovenia"", ""Slovenija"", ""Republika Slovenija"", ""si"", ""🇸🇮"", ""svn"", ""slo"", ""Republic of Slovenia"", ""SLO""]",8,6
Fontenay,country,1525,France,536,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q1001153,http://www.wikidata.org/entity/Q142,"Fontenay, Manche",France,41,486947,In what country is Fontenay?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",6,8
Tori,country,2636930,Estonia,1136442,182,656083,"[""Tori k\u00fcla""]","[""Republic of Estonia"",""Estland"",""Eesti"",""ee"",""EST"",""\ud83c\uddea\ud83c\uddea""]",http://www.wikidata.org/entity/Q3472546,http://www.wikidata.org/entity/Q191,"Tori, Järva County",Estonia,238,169786,In what country is Tori?,"[""Estonia"", ""Republic of Estonia"", ""Estland"", ""Eesti"", ""ee"", ""EST"", ""🇪🇪""]",7,4
Francheville Aerodrome,country,701197,France,296575,182,230035,[],"[""fr"",""FR"",""R\u00e9publique fran\u00e7aise"",""La France"",""Republic of France"",""French Republic"",""FRA"",""the Hexagon""]",http://www.wikidata.org/entity/Q15218346,http://www.wikidata.org/entity/Q142,Francheville Aerodrome,France,52,486947,In what country is Francheville Aerodrome?,"[""France"", ""fr"", ""FR"", ""République française"", ""La France"", ""Republic of France"", ""French Republic"", ""FRA"", ""the Hexagon""]",6,22
Rakhyah District,country,2978081,Yemen,1275033,182,2808511,[],"[""Republic of Yemen"",""ye"",""Rep. Yemen"",""\ud83c\uddfe\ud83c\uddea"",""YEM""]",http://www.wikidata.org/entity/Q4117554,http://www.wikidata.org/entity/Q805,Rakhyah District,Yemen,250,148099,In what country is Rakhyah District?,"[""Yemen"", ""Republic of Yemen"", ""ye"", ""Rep. Yemen"", ""🇾🇪"", ""YEM""]",5,16
